,RF_rank,RF_imp,MI_rank,MI_imp,GB_rank,GB_imp,LGBM_rank,LGBM_imp,avg_rank,type
logret_240h,1.0,0.042165072884468906,0.72,0.02800491505005276,1.0,0.05354554208014193,1.0,0.037250384024577574,0.9299999999999999,BASE
m_sp500_vol20d,0.97,0.027173316964814193,0.85,0.17516849093224085,0.96,0.029948394579302113,0.865,0.02131336405529954,0.9112499999999999,MACRO
m_vix_zscore,0.99,0.03801977161208769,0.6,0.012436719659036477,0.99,0.04607301507947445,0.98,0.02707373271889401,0.89,MACRO
m_sp500_zscore,0.98,0.03206762517456743,0.6699999999999999,0.023493792266945146,0.9299999999999999,0.027299424572309237,0.97,0.026497695852534562,0.8875,MACRO
logret_24h,0.96,0.0255513267438557,0.5900000000000001,0.01141524747824052,0.98,0.03426988296510756,0.99,0.028993855606758833,0.8800000000000001,BASE
volatility_48h,0.94,0.024395130106056737,0.76,0.03804684042745121,0.95,0.02954944542929479,0.83,0.02054531490015361,0.87,BASE
xa_sp500_relstr5d,0.7,0.014371138989677129,0.97,0.18285800890492565,0.8200000000000001,0.018180560928038325,0.89,0.021697388632872502,0.8450000000000001,CROSS-ASSET
atr_pct_14h,0.9,0.01972772725696329,0.5700000000000001,0.011033698380451984,0.91,0.02537548142327166,0.96,0.026113671274961597,0.8350000000000001,BASE
sma20_to_sma50h,0.9299999999999999,0.02083279197492677,0.54,0.010349963940431639,0.94,0.028127580703368526,0.8,0.019393241167434717,0.8025,BASE
m_nasdaq_vol20d,0.81,0.017402967937944613,0.81,0.1734059640587695,0.86,0.020494298794930203,0.6950000000000001,0.01555299539170507,0.79375,MACRO
zscore_50h,0.91,0.020154082375575245,0.48,0.008176571313577075,0.97,0.030457762564678442,0.77,0.017665130568356373,0.7825000000000001,BASE
xa_sp500_corr30d,0.69,0.01434996312017885,0.94,0.18002947429387905,0.74,0.015530854061381012,0.72,0.016897081413210446,0.7725,CROSS-ASSET
spread_120h_8h,0.92,0.02072226133690725,0.56,0.010933012520501606,0.81,0.01800605763245741,0.78,0.01804915514592934,0.7675000000000001,BASE
xa_nasdaq_corr10d,0.73,0.015032545246519764,0.95,0.18049253737227478,0.75,0.015620022636282177,0.635,0.013824884792626729,0.7662499999999999,CROSS-ASSET
m_gold_vol20d,0.71,0.014878805726690366,0.79,0.167277380441043,0.8,0.017902459798664908,0.6799999999999999,0.015168970814132104,0.7449999999999999,MACRO
fg_zscore,0.5900000000000001,0.012678820025773235,1.0,0.1876647301515173,0.69,0.013657088754810306,0.6950000000000001,0.01555299539170507,0.7437500000000001,SENTIMENT
m_dxy_zscore,0.85,0.018973823271901006,0.33999999999999997,0.0014939090040089198,0.88,0.02156672974613546,0.865,0.02131336405529954,0.7337499999999999,MACRO
logret_6h,0.76,0.016648794824394093,0.44999999999999996,0.0069102597217409745,0.79,0.017640695618593636,0.925,0.024961597542242704,0.73125,BASE
m_us10y_zscore,0.86,0.019087343032584244,0.37,0.002933752880899476,0.87,0.021037479623416688,0.815,0.01977726574500768,0.72875,MACRO
logret_72h,0.78,0.01687419846413104,0.55,0.010741390188238054,0.83,0.018189054265842323,0.745,0.01728110599078341,0.7262500000000001,BASE
logret_3h,0.8,0.017294899328086855,0.49,0.008465482393427148,0.76,0.01575111644637468,0.85,0.021121351766513058,0.725,BASE
rsi_14h,0.89,0.019569573255457055,0.14500000000000002,0.0,0.92,0.026817741838170615,0.945,0.02534562211981567,0.725,BASE
xa_nasdaq_relstr5d,0.72,0.014961761505591881,0.87,0.17555440214033702,0.6699999999999999,0.012920319940270547,0.635,0.013824884792626729,0.7237499999999999,CROSS-ASSET
fg_chg1d,0.6599999999999999,0.013769460220550008,0.6599999999999999,0.020057794456426414,0.77,0.01612917079718393,0.79,0.018625192012288787,0.72,SENTIMENT
m_nasdaq_zscore,0.95,0.024902739549043953,0.43000000000000005,0.006206896440789755,0.78,0.016529614466427662,0.71,0.015937019969278033,0.7175,MACRO
bb_position_20h,0.87,0.019300836321203708,0.14500000000000002,0.0,0.9,0.024662283952839748,0.925,0.024961597542242704,0.71,BASE
xa_sp500_corr10d,0.6799999999999999,0.014277216293258715,0.91,0.17793224325783896,0.5800000000000001,0.010026935020329362,0.65,0.01401689708141321,0.705,CROSS-ASSET
m_us10y_vol20d,0.5700000000000001,0.012480702440026853,0.84,0.17488498860606194,0.73,0.015060507440663748,0.6699999999999999,0.014592933947772658,0.7025,MACRO
m_oil_vol20d,0.6,0.012815436728025365,0.9,0.17790295222390773,0.7,0.013821523777392264,0.6,0.012864823348694316,0.7000000000000001,MACRO
m_oil_zscore,0.8200000000000001,0.017903723005001745,0.14500000000000002,0.0,0.89,0.022078993032451415,0.945,0.02534562211981567,0.7,MACRO
xa_eth_usd_relstr5d,0.61,0.012858619716287432,0.99,0.18610226429594023,0.61,0.01092684316831587,0.585,0.012480798771121352,0.69875,CROSS-ASSET
logret_1h,0.63,0.012971746206245794,0.53,0.010238704630568307,0.72,0.014855800591395692,0.905,0.022081413210445468,0.69625,BASE
m_eurusd_zscore,0.88,0.019421684944990945,0.14500000000000002,0.0,0.84,0.01991415169981015,0.905,0.022081413210445468,0.6924999999999999,MACRO
